Area;Perimeter;Major_Axis_Length;Minor_Axis_Length;Eccentricity;Convex_Area;Extent;Class
15231;525;229;85;92;15617;57;Cammeo
14656;494;206;91;89;15072;61;Cammeo
14634;501;214;87;91;14954;69;Cammeo
13176;458;193;87;89;13368;64;Cammeo
14688;507;211;89;90;15262;64;Cammeo
13479;477;200;86;90;13786;65;Cammeo
15757;509;207;98;88;16150;58;Cammeo
16405;526;221;95;90;16837;65;Cammeo
14534;483;196;95;87;14932;64;Cammeo
13485;471;198;87;89;13734;57;Cammeo
14930;499;212;90;90;15248;62;Cammeo
14626;496;204;92;89;15070;57;Cammeo
15926;522;225;91;91;16240;77;Cammeo
14076;479;199;90;89;14434;78;Cammeo
13500;476;202;85;90;13800;71;Cammeo
14349;496;213;86;91;14678;66;Cammeo
15209;496;214;91;90;15395;56;Cammeo
15238;496;208;93;89;15487;73;Cammeo
13509;480;207;83;91;13732;59;Cammeo
13699;480;197;89;89;14178;67;Cammeo
13921;481;203;88;90;14210;56;Cammeo
14405;488;204;90;89;14742;76;Cammeo
13377;472;199;86;90;13685;79;Cammeo
15043;498;206;94;88;15414;58;Cammeo
14590;496;212;88;90;14883;57;Cammeo
13237;466;197;85;90;13445;59;Cammeo
16226;524;216;96;89;16748;64;Cammeo
13203;469;199;85;90;13431;60;Cammeo
13328;473;201;85;90;13588;78;Cammeo
14945;493;202;95;88;15357;73;Cammeo
13130;467;196;86;89;13462;57;Cammeo
13414;479;203;85;90;13735;71;Cammeo
16104;507;206;100;87;16457;60;Cammeo
11827;455;194;78;91;12212;76;Cammeo
14479;475;200;92;88;14696;71;Cammeo
14306;482;197;94;87;14667;58;Cammeo
14415;488;203;91;89;14758;67;Cammeo
14415;490;206;90;90;14671;65;Cammeo
14524;480;199;93;88;14808;61;Cammeo
13780;497;221;79;93;14010;55;Cammeo
12768;464;195;84;90;13085;58;Cammeo
13047;486;213;79;92;13621;61;Cammeo
14456;492;212;87;91;14726;79;Cammeo
13973;474;192;93;87;14354;61;Cammeo
13858;482;205;86;90;14154;55;Cammeo
13148;481;201;84;90;13572;62;Cammeo
12792;462;194;84;90;13032;59;Cammeo
15778;515;214;95;89;16283;68;Cammeo
15404;509;217;91;90;15696;63;Cammeo
14911;494;207;92;89;15132;60;Cammeo
15360;504;210;94;89;15751;75;Cammeo
15746;503;204;99;87;16171;75;Cammeo
14304;489;211;86;91;14483;57;Cammeo
15136;518;221;88;91;15469;52;Cammeo
12919;475;201;83;91;13256;76;Cammeo
15224;510;213;92;90;15686;63;Cammeo
12950;468;196;84;90;13584;76;Cammeo
13536;478;203;85;90;13810;55;Cammeo
15551;508;217;92;90;15786;80;Cammeo
14166;483;204;88;90;14412;76;Cammeo
13916;478;201;88;89;14221;60;Cammeo
12308;451;193;81;90;12488;72;Cammeo
15127;499;212;91;90;15370;71;Cammeo
14115;486;207;87;90;14422;60;Cammeo
17313;531;225;98;89;17582;56;Cammeo
15147;511;216;90;90;15637;53;Cammeo
16419;531;224;94;90;16874;55;Cammeo
13737;484;209;84;91;13944;60;Cammeo
14053;497;216;84;92;14416;80;Cammeo
11549;440;179;84;88;11961;59;Cammeo
16490;520;212;101;87;16873;62;Cammeo
14011;475;197;91;88;14315;77;Cammeo
15809;518;221;92;90;16079;81;Cammeo
12473;470;202;79;92;12806;52;Cammeo
15319;506;208;94;89;15813;57;Cammeo
15498;512;215;92;90;15914;57;Cammeo
13902;479;201;89;89;14202;69;Cammeo
14837;499;210;91;90;15263;68;Cammeo
15113;493;206;94;88;15374;65;Cammeo
16091;508;209;99;88;16431;67;Cammeo
15543;507;211;94;89;15976;65;Cammeo
13683;492;213;83;92;14070;76;Cammeo
12161;445;182;86;88;12428;60;Cammeo
13711;483;203;86;90;14097;56;Cammeo
12518;473;203;80;91;12778;68;Cammeo
13302;482;209;81;92;13827;59;Cammeo
16418;534;230;91;91;16736;64;Cammeo
14166;491;209;87;90;14386;60;Cammeo
14988;499;212;90;90;15245;58;Cammeo
14223;480;201;90;89;14441;64;Cammeo
12518;460;195;82;90;12813;68;Cammeo
12854;474;202;81;91;13242;64;Cammeo
15705;498;208;96;88;16009;77;Cammeo
14451;487;201;92;88;14776;64;Cammeo
14064;486;204;88;90;14388;64;Cammeo
13524;487;208;83;91;13830;63;Cammeo
13677;494;219;79;93;13936;53;Cammeo
12921;476;206;80;92;13218;54;Cammeo
13251;460;190;88;88;13528;74;Cammeo
14601;505;215;86;91;14991;66;Cammeo
15141;505;209;93;89;15559;56;Cammeo
12599;455;188;86;88;12897;62;Cammeo
14709;515;222;85;92;14941;52;Cammeo
12047;455;195;80;91;12339;54;Cammeo
13158;470;201;84;90;13462;61;Cammeo
15191;501;211;92;89;15492;56;Cammeo
13837;483;204;87;90;14139;56;Cammeo
13645;484;205;85;90;13972;54;Cammeo
16199;511;210;99;88;16637;73;Cammeo
13169;474;201;84;90;13505;54;Cammeo
14022;483;204;88;90;14358;70;Cammeo
12471;445;184;86;88;12688;67;Cammeo
12706;463;194;84;89;13011;79;Cammeo
14918;500;210;91;90;15185;64;Cammeo
14641;505;211;90;90;15034;62;Cammeo
15216;500;208;94;89;15558;57;Cammeo
12349;467;202;78;92;12572;54;Cammeo
13584;478;203;85;90;13877;67;Cammeo
14138;490;206;89;90;14523;76;Cammeo
11956;438;184;83;89;12121;57;Cammeo
10604;425;179;76;90;10830;57;Cammeo
14592;494;212;88;90;14838;74;Cammeo
12770;458;196;83;90;12949;60;Cammeo
15143;504;207;94;89;15628;57;Cammeo
12917;473;200;83;90;13302;66;Cammeo
15714;501;205;99;87;16074;73;Cammeo
14655;491;200;94;88;15181;60;Cammeo
15639;499;207;96;88;15895;70;Cammeo
15166;502;214;91;90;15475;79;Cammeo
13742;493;212;84;91;14272;58;Cammeo
13983;483;201;89;89;14320;56;Cammeo
11386;450;195;75;92;11612;51;Cammeo
15636;513;214;93;89;15913;56;Cammeo
13507;468;197;87;89;13735;57;Cammeo
13186;477;201;84;90;13516;54;Cammeo
14013;458;181;99;83;14323;79;Cammeo
16053;523;220;93;90;16496;74;Cammeo
13557;483;206;84;91;13845;55;Cammeo
13104;476;202;83;91;13464;53;Cammeo
15167;514;220;88;91;15456;62;Cammeo
14159;489;209;87;90;14410;54;Cammeo
14436;485;204;90;89;14864;61;Cammeo
15320;511;218;91;90;15740;54;Cammeo
15341;504;210;93;89;15628;76;Cammeo
14399;484;200;92;88;14849;60;Cammeo
16835;522;216;100;88;17404;73;Cammeo
13655;471;193;91;88;14053;71;Cammeo
14276;492;208;88;90;14706;58;Cammeo
12199;454;191;82;90;12555;75;Cammeo
12223;445;185;85;88;12460;79;Cammeo
13884;491;207;86;90;14232;54;Cammeo
15833;530;225;91;91;16337;58;Cammeo
12861;471;193;86;89;13330;63;Cammeo
15080;500;209;92;89;15614;73;Cammeo
16898;526;217;100;88;17274;62;Cammeo
16254;532;223;94;90;16680;55;Cammeo
14274;488;203;89;89;14529;57;Cammeo
13965;478;203;88;90;14135;80;Cammeo
13860;484;200;88;89;14238;66;Cammeo
13568;482;201;87;90;14068;63;Cammeo
14546;494;212;87;91;14826;62;Cammeo
16559;524;223;94;90;16961;77;Cammeo
15308;513;219;90;91;15720;76;Cammeo
14741;497;212;89;90;15036;55;Cammeo
13397;474;200;86;90;13762;69;Cammeo
15559;514;221;90;91;15903;77;Cammeo
13665;482;208;84;91;13998;60;Cammeo
15390;511;214;92;90;15788;77;Cammeo
14017;471;194;92;88;14314;70;Cammeo
14209;496;208;87;90;14667;56;Cammeo
14786;505;214;89;90;15177;73;Cammeo
15540;516;217;92;90;16084;63;Cammeo
17442;539;228;98;90;17698;57;Cammeo
17082;548;230;95;90;17576;59;Cammeo
14195;488;203;89;89;14555;71;Cammeo
15172;504;213;91;90;15477;62;Cammeo
14434;486;201;92;88;14754;62;Cammeo
12863;457;195;84;90;13023;80;Cammeo
14019;475;194;92;87;14308;59;Cammeo
15888;518;218;94;90;16245;55;Cammeo
13000;460;195;85;89;13231;58;Cammeo
14806;509;214;89;90;15594;70;Cammeo
14713;493;206;91;89;15162;59;Cammeo
13722;482;202;87;90;14189;60;Cammeo
15713;518;218;92;90;16038;58;Cammeo
12765;460;196;83;90;13139;57;Cammeo
13487;473;197;87;89;13773;75;Cammeo
15252;501;207;94;89;15595;59;Cammeo
13684;464;189;92;87;13928;60;Cammeo
14709;489;204;91;89;15041;63;Cammeo
14331;502;212;87;91;14618;54;Cammeo
15475;511;220;90;91;15734;82;Cammeo
14368;491;211;87;91;14596;62;Cammeo
13670;486;207;84;91;13923;58;Cammeo
14232;505;214;86;91;14702;52;Cammeo
14441;495;210;89;90;14805;54;Cammeo
14093;488;204;89;89;14463;58;Cammeo
15121;503;212;91;90;15470;78;Cammeo
15569;528;221;90;91;16286;56;Cammeo
15684;513;221;90;91;15944;78;Cammeo
14622;481;200;94;88;14845;60;Cammeo
14850;509;215;89;91;15372;79;Cammeo
14017;491;212;84;91;14287;76;Cammeo
11513;438;189;77;91;11736;68;Cammeo
14793;501;211;90;90;15049;66;Cammeo
14466;497;204;91;89;14885;65;Cammeo
12162;454;191;82;90;12493;74;Cammeo
17180;547;238;93;92;17517;57;Cammeo
13831;483;202;88;90;14270;59;Cammeo
13925;478;196;91;88;14323;66;Cammeo
14045;482;200;90;89;14305;57;Cammeo
16588;531;221;96;90;16854;57;Cammeo
14966;499;205;93;89;15387;58;Cammeo
16011;525;222;92;91;16298;55;Cammeo
14050;481;191;95;86;14600;60;Cammeo
14173;480;201;90;89;14519;59;Cammeo
14106;487;209;86;91;14348;54;Cammeo
15967;511;211;96;88;16329;58;Cammeo
11667;447;186;80;90;12039;66;Cammeo
14890;502;206;93;89;15349;58;Cammeo
13279;474;200;85;90;13757;72;Cammeo
13942;502;214;83;92;14273;64;Cammeo
13545;482;208;83;91;13759;53;Cammeo
14126;498;216;83;92;14410;76;Cammeo
14530;487;201;93;88;14926;68;Cammeo
13708;486;204;86;90;14361;58;Cammeo
14252;493;202;91;89;14627;56;Cammeo
14571;489;202;92;88;14884;58;Cammeo
16194;528;226;91;91;16524;55;Cammeo
14356;492;209;88;90;14652;57;Cammeo
15691;511;213;94;89;16124;65;Cammeo
14105;496;209;86;90;14567;60;Cammeo
14013;478;194;92;87;14374;60;Cammeo
15009;502;211;91;90;15370;61;Cammeo
13954;484;203;88;90;14288;75;Cammeo
16226;517;217;95;89;16466;58;Cammeo
14505;492;205;90;89;14834;58;Cammeo
15281;509;212;92;89;15689;64;Cammeo
15009;507;217;88;91;15387;59;Cammeo
14652;485;201;93;88;14883;59;Cammeo
15330;501;209;93;89;15617;58;Cammeo
14407;482;202;91;89;14671;74;Cammeo
15741;523;227;89;92;15999;56;Cammeo
14589;495;210;89;90;14853;66;Cammeo
16376;531;227;92;91;16667;74;Cammeo
14294;484;205;89;90;14542;70;Cammeo
14541;492;204;92;89;14893;75;Cammeo
16734;531;220;97;89;17242;65;Cammeo
13434;483;204;84;91;13773;72;Cammeo
14878;506;212;90;90;15237;57;Cammeo
14504;502;212;87;91;14895;55;Cammeo
14723;491;204;93;89;15021;57;Cammeo
15830;520;219;92;90;16121;59;Cammeo
14549;485;199;93;88;14846;61;Cammeo
14700;506;215;87;91;15050;70;Cammeo
14842;505;214;88;91;15313;54;Cammeo
14400;486;200;93;88;14714;61;Cammeo
12892;473;199;83;90;13193;56;Cammeo
16588;519;218;97;89;16852;64;Cammeo
15676;512;214;93;89;15961;77;Cammeo
16706;533;228;94;91;17037;63;Cammeo
14301;497;209;87;90;14591;60;Cammeo
15070;504;210;92;89;15400;64;Cammeo
15381;503;211;93;89;15749;74;Cammeo
15252;502;211;92;90;15495;57;Cammeo
14887;493;199;96;87;15347;61;Cammeo
14493;506;219;84;92;14804;54;Cammeo
14897;491;205;92;89;15137;59;Cammeo
14690;506;214;88;90;15064;58;Cammeo
13950;476;193;92;87;14280;71;Cammeo
14421;507;213;86;91;14881;65;Cammeo
14517;495;211;88;90;14815;68;Cammeo
14944;500;209;91;89;15255;62;Cammeo
14570;469;185;100;83;14895;65;Cammeo
11838;440;181;83;88;12165;60;Cammeo
15223;514;220;89;91;15492;55;Cammeo
13694;464;191;91;87;13918;70;Cammeo
17948;526;214;107;86;18322;66;Cammeo
14471;503;207;90;90;14894;55;Cammeo
16654;519;217;98;89;16976;76;Cammeo
14990;507;213;90;90;15318;56;Cammeo
