Perimeter;Major_Axis_Length;Minor_Axis_Length;Eccentricity;Convex_Area;Extent;Class
36;16;59;93;772;75;Osmancik
37;16;63;92;801;76;Osmancik
36;15;65;90;808;60;Osmancik
36;15;70;88;857;58;Osmancik
37;15;70;89;864;76;Osmancik
37;15;71;88;873;63;Osmancik
35;14;73;86;865;67;Osmancik
38;17;63;93;868;73;Osmancik
37;15;72;88;878;60;Osmancik
37;15;70;89;878;60;Osmancik
37;15;74;87;886;60;Osmancik
38;15;70;89;888;71;Osmancik
38;16;69;90;892;64;Osmancik
38;16;67;91;887;76;Osmancik
38;16;68;90;898;58;Osmancik
38;16;68;90;900;73;Osmancik
36;15;76;86;900;63;Osmancik
38;15;71;89;906;57;Osmancik
38;15;74;87;931;62;Osmancik
39;16;69;90;915;78;Osmancik
38;15;73;88;929;62;Osmancik
37;15;73;88;910;59;Osmancik
37;15;74;87;929;66;Osmancik
39;16;69;90;926;77;Osmancik
37;15;77;86;938;67;Osmancik
37;15;74;88;923;73;Osmancik
39;16;70;90;938;57;Osmancik
39;16;69;90;933;54;Osmancik
38;15;74;88;929;61;Osmancik
38;16;72;89;926;58;Osmancik
38;15;74;88;934;74;Osmancik
38;15;75;87;936;65;Osmancik
38;15;76;87;945;65;Osmancik
38;16;72;89;935;62;Osmancik
38;15;74;88;941;76;Osmancik
38;16;72;89;942;58;Osmancik
39;16;74;88;946;57;Osmancik
39;16;73;89;952;61;Osmancik
37;15;79;85;943;62;Osmancik
40;17;68;91;944;53;Osmancik
41;18;64;93;944;50;Osmancik
38;15;76;87;956;63;Osmancik
39;16;74;88;962;57;Osmancik
38;16;75;88;953;62;Osmancik
38;15;75;87;953;67;Osmancik
39;16;71;90;955;57;Osmancik
39;17;70;91;953;69;Osmancik
39;16;73;89;959;65;Osmancik
39;16;70;90;952;77;Osmancik
40;17;70;91;954;77;Osmancik
38;15;75;87;952;72;Osmancik
38;16;74;88;959;60;Osmancik
40;17;66;92;958;81;Osmancik
38;15;79;85;963;60;Osmancik
40;17;68;92;957;57;Osmancik
39;16;74;89;976;67;Osmancik
38;15;75;88;955;77;Osmancik
38;16;73;89;956;72;Osmancik
40;17;70;91;969;58;Osmancik
38;16;74;88;960;75;Osmancik
39;15;78;86;981;65;Osmancik
39;16;73;89;965;72;Osmancik
38;16;75;88;964;66;Osmancik
40;16;72;90;976;65;Osmancik
38;15;79;86;975;69;Osmancik
38;16;74;88;964;58;Osmancik
40;17;70;91;968;75;Osmancik
39;16;76;88;985;77;Osmancik
38;16;75;88;966;81;Osmancik
38;15;76;87;970;70;Osmancik
38;16;76;88;972;63;Osmancik
40;17;70;91;976;62;Osmancik
40;16;74;89;985;61;Osmancik
39;16;75;88;975;80;Osmancik
39;16;75;88;975;72;Osmancik
38;15;78;86;976;78;Osmancik
39;16;75;88;982;74;Osmancik
39;17;72;90;976;79;Osmancik
40;17;70;91;977;51;Osmancik
40;17;72;90;989;70;Osmancik
39;16;75;88;993;72;Osmancik
39;16;73;89;979;72;Osmancik
39;16;76;88;981;67;Osmancik
39;15;78;87;988;60;Osmancik
38;15;83;83;1001;73;Osmancik
39;16;77;87;991;76;Osmancik
39;16;74;89;991;62;Osmancik
39;15;81;84;1000;62;Osmancik
39;16;74;89;985;58;Osmancik
37;14;87;80;983;81;Osmancik
38;15;79;86;994;62;Osmancik
39;16;75;89;988;58;Osmancik
39;16;76;88;990;81;Osmancik
43;18;71;91;1020;76;Osmancik
38;15;81;84;993;66;Osmancik
39;16;77;88;994;59;Osmancik
41;17;71;91;1003;71;Osmancik
40;17;73;90;1002;56;Osmancik
39;15;79;86;999;73;Osmancik
39;16;75;89;1001;61;Osmancik
39;16;78;87;1012;74;Osmancik
40;16;74;89;1004;70;Osmancik
39;16;78;87;995;64;Osmancik
41;17;69;92;994;70;Osmancik
39;16;76;88;997;78;Osmancik
39;15;82;84;1015;69;Osmancik
40;17;73;90;996;64;Osmancik
39;16;74;89;995;62;Osmancik
