a1;a2;a3;a4;a5;a6;Class
35;15;60;93;780;75;Osmancik
35;15;65;92;800;75;Osmancik
35;15;65;90;820;60;Osmancik
35;15;70;88;860;60;Osmancik
35;15;70;89;880;75;Osmancik
35;15;70;88;880;65;Osmancik
35;15;75;86;880;65;Osmancik
40;15;65;93;880;75;Osmancik
35;15;70;88;880;60;Osmancik
35;15;70;89;880;60;Osmancik
35;15;75;87;900;60;Osmancik
40;15;70;89;900;70;Osmancik
40;15;70;90;900;65;Osmancik
40;15;65;91;900;75;Osmancik
40;15;70;90;900;60;Osmancik
40;15;70;90;900;75;Osmancik
35;15;75;86;900;65;Osmancik
40;15;70;89;920;55;Osmancik
45;20;85;89;1280;60;Cammeo
45;15;90;86;1280;75;Osmancik
45;20;80;91;1280;80;Cammeo
55;20;100;89;1760;55;Cammeo
55;25;90;92;1760;80;Cammeo
55;20;100;89;1780;80;Cammeo
55;20;100;88;1800;65;Cammeo
50;20;105;86;1780;70;Cammeo
55;25;95;90;1780;70;Cammeo
55;25;95;90;1780;75;Cammeo
55;20;100;90;1780;55;Cammeo
50;20;100;88;1780;75;Cammeo
55;20;100;88;1820;80;Cammeo
50;20;105;86;1820;65;Cammeo
55;20;105;87;1880;60;Cammeo
55;20;105;88;1980;80;Cammeo
