Area;Perimeter;Major_Axis_Length;Minor_Axis_Length;Eccentricity;Convex_Area;Extent;Class
14403;510;223;83;92;14781;59;Cammeo
12274;456;194;81;90;12562;70;Cammeo
12172;452;193;80;90;12430;67;Cammeo
14085;489;200;91;89;14670;62;Cammeo
12410;463;195;82;90;12849;56;Cammeo
13196;474;199;85;90;13463;55;Cammeo
13455;467;195;88;89;13723;75;Cammeo
12593;463;195;83;90;12907;69;Cammeo
14608;498;210;89;90;14951;65;Cammeo
12939;469;202;83;91;13165;65;Cammeo
13193;469;201;83;90;13535;73;Cammeo
11883;448;191;79;91;12103;55;Cammeo
13501;485;205;84;91;13896;65;Cammeo
12202;442;180;87;87;12521;77;Cammeo
13273;463;197;85;90;13462;58;Cammeo
12899;468;201;82;91;13132;70;Cammeo
13885;479;198;90;88;14271;78;Cammeo
13574;473;197;88;89;13879;64;Cammeo
14913;502;215;88;91;15300;69;Cammeo
16582;532;223;95;90;17089;71;Cammeo
12467;467;199;80;91;12900;78;Cammeo
13167;466;197;86;89;13448;58;Cammeo
13062;469;200;83;90;13279;66;Cammeo
14677;498;209;90;90;15060;64;Cammeo
14106;485;199;91;88;14515;57;Cammeo
14640;501;210;90;90;15119;58;Cammeo
12256;470;207;75;93;12541;73;Cammeo
14362;479;202;90;89;14606;59;Cammeo
12091;463;203;76;92;12298;79;Cammeo
12605;447;183;88;87;12859;59;Cammeo
14697;495;208;90;89;15073;59;Cammeo
14337;501;219;83;92;14631;74;Cammeo
13760;474;198;89;89;13989;63;Cammeo
16022;524;221;93;90;16545;54;Cammeo
11510;433;180;82;88;11827;76;Cammeo
12798;469;202;81;91;13152;78;Cammeo
13683;481;206;84;91;13922;76;Cammeo
14379;495;212;87;91;14834;79;Cammeo
13404;468;191;90;88;13804;70;Cammeo
12858;466;198;83;90;13095;54;Cammeo
15456;508;214;93;89;15884;78;Cammeo
14149;474;195;93;87;14454;60;Cammeo
13091;473;203;82;91;13451;75;Cammeo
16403;521;215;98;88;16867;58;Cammeo
13681;478;202;87;90;14015;64;Cammeo
14263;489;205;89;90;14637;66;Cammeo
12068;457;196;79;91;12347;59;Cammeo
15710;517;214;95;89;16259;60;Cammeo
15545;510;213;93;89;15909;56;Cammeo
12720;449;178;92;85;13095;74;Cammeo
15073;498;205;93;88;15476;61;Cammeo
11771;441;186;81;90;12109;61;Cammeo
14873;499;210;91;90;15195;57;Cammeo
14092;499;210;86;91;14618;77;Cammeo
14558;496;204;91;89;14908;56;Cammeo
13321;473;199;85;90;13758;56;Cammeo
10796;413;170;80;88;10980;62;Cammeo
14444;491;203;91;89;14773;57;Cammeo
13313;470;198;86;90;13560;57;Cammeo
15578;509;216;92;90;15864;80;Cammeo
13930;495;213;84;91;14564;54;Cammeo
12092;449;192;80;90;12298;58;Cammeo
13245;476;204;83;91;13536;79;Cammeo
14572;497;211;88;90;14926;62;Cammeo
12470;455;192;83;90;12704;58;Cammeo
15777;515;218;93;90;16111;56;Cammeo
14435;491;207;89;90;14842;57;Cammeo
12745;470;205;79;92;12940;53;Cammeo
13533;473;196;88;89;13897;60;Cammeo
12551;459;197;81;91;12741;81;Cammeo
14078;478;203;88;90;14280;74;Cammeo
13057;460;187;90;87;13385;75;Cammeo
14824;499;212;89;90;15141;57;Cammeo
14189;491;209;86;91;14496;55;Cammeo
15418;504;209;94;89;15779;58;Cammeo
14828;493;209;90;90;15090;60;Cammeo
11774;447;186;81;89;12103;56;Cammeo
13335;469;199;85;90;13657;61;Cammeo
11350;445;195;74;92;11544;58;Cammeo
