fixed_acidity;volatile_acidity;citric_acid;residual_sugar;chlorides;free_sulfur_dioxide;total_sulfur_dioxide;density;pH;sulphates;alcohol;quality
1080;47;43;210;171;2700;6600;998;317;76;1080;Good
830;53;0;140;70;600;1400;996;325;64;1000;Good
540;42;27;200;92;2300;5500;995;378;64;1230;Good
790;33;41;150;56;600;3500;994;329;71;1100;Good
890;24;39;160;74;300;1000;997;312;59;950;Good
500;40;50;430;46;2900;8000;990;349;66;1360;Good
700;69;7;250;91;1500;2100;996;338;60;1130;Good
700;69;7;250;91;1500;2100;996;338;60;1130;Good
700;69;7;250;91;1500;2100;996;338;60;1130;Good
710;39;12;210;65;1400;2400;993;330;53;1330;Good
560;66;0;250;66;700;1500;993;352;58;1290;Bad
790;54;34;250;76;800;1700;992;320;72;1310;Good
660;50;0;180;62;2100;2800;994;344;55;1230;Good
630;47;0;140;55;2700;3300;992;345;48;1230;Good
1070;40;37;190;81;1700;2900;997;312;65;1120;Good
650;58;0;220;96;300;1300;996;362;62;1150;Bad
880;24;35;170;55;1300;2700;994;314;59;1130;Good
580;29;26;170;63;300;1100;992;339;54;1350;Good
630;76;0;290;72;2600;5200;994;351;60;1150;Good
1000;43;33;270;95;2800;8900;998;322;68;1000;Bad
1050;43;35;330;92;2400;7000;998;321;69;1050;Good
910;60;0;190;58;500;1000;998;318;63;1040;Good
590;19;21;170;45;5700;13500;993;332;44;950;Bad
740;36;34;180;75;1800;3800;993;338;88;1360;Good
720;48;7;550;89;1000;1800;997;337;68;1120;Good
850;28;35;170;61;600;1500;995;330;74;1180;Good
800;25;43;170;67;2200;5000;995;338;60;1190;Good
1040;52;45;200;80;600;1300;998;322;76;1140;Good
1040;52;45;200;80;600;1300;998;322;76;1140;Good
750;41;15;370;104;2900;9400;998;314;58;910;Bad
820;51;24;200;79;1600;8600;998;334;64;950;Good
730;40;30;170;80;3300;7900;997;341;65;950;Good
820;38;32;250;80;2400;7100;996;327;85;1100;Good
690;45;11;240;43;600;1200;994;330;65;1140;Good
700;22;30;180;65;1600;2000;997;361;82;1000;Good
730;32;23;230;66;3500;7000;996;343;62;1010;Bad
820;20;43;250;76;3100;5100;997;353;81;1040;Good
780;50;12;180;178;600;2100;996;328;87;980;Good
1000;41;45;620;71;600;1400;997;321;49;1180;Good
780;39;42;200;86;900;2100;995;339;66;1160;Good
1000;35;47;200;61;600;1100;996;323;52;1200;Good
820;33;32;280;67;400;1200;995;330;76;1280;Good
610;58;23;250;44;1600;7000;994;346;65;1250;Good
830;60;25;220;118;900;3800;996;315;53;980;Bad
960;42;35;210;83;1700;3800;996;323;66;1110;Good
660;58;0;220;100;5000;6300;995;359;68;1140;Good
830;60;25;220;118;900;3800;996;315;53;980;Bad
850;18;51;175;71;4500;8800;995;333;76;1180;Good
510;51;18;210;42;1600;10100;992;346;87;1290;Good
670;41;43;280;76;2200;5400;996;342;116;1060;Good
1020;41;43;220;110;1100;3700;997;316;67;1080;Bad
1060;36;57;230;87;600;2000;997;314;72;1110;Good
880;45;43;140;76;1200;2100;996;321;75;1020;Good
850;32;42;230;75;1200;1900;994;314;71;1180;Good
900;79;24;170;78;1000;2100;997;329;67;1000;Bad
900;79;24;170;78;1000;2100;997;329;67;1000;Bad
850;44;50;190;369;1500;3800;996;301;110;940;Bad
990;54;26;200;111;700;6000;997;294;98;1020;Bad
820;33;39;250;74;2900;4800;995;332;88;1240;Good
650;34;27;280;67;800;4400;994;321;56;1200;Good
760;50;29;230;86;500;1400;995;332;62;1150;Good
920;36;34;160;62;500;1200;997;320;67;1050;Good
710;59;0;220;78;2600;4400;995;342;68;1080;Good
970;42;46;210;74;500;1600;996;327;74;1230;Good
760;36;31;170;79;2600;6500;997;346;62;950;Good
760;36;31;170;79;2600;6500;997;346;62;950;Good
650;61;0;220;95;4800;5900;995;361;70;1150;Good
650;88;3;560;79;2300;4700;996;358;50;1120;Bad
710;66;0;240;52;600;1100;993;335;66;1270;Good
560;92;0;210;41;1700;7800;993;368;73;1140;Bad
820;35;33;240;76;1100;4700;996;327;81;1100;Good
820;35;33;240;76;1100;4700;996;327;81;1100;Good
