fixed_acidity;volatile_acidity;citric_acid;residual_sugar;chlorides;free_sulfur_dioxide;total_sulfur_dioxide;density;pH;sulphates;alcohol;quality
740;70;0;190;76;1100;3400;998;351;56;940;Bad
780;88;0;260;98;2500;6700;997;320;68;980;Bad
780;76;4;230;92;1500;5400;997;326;65;980;Bad
1120;28;56;190;75;1700;6000;998;316;58;980;Good
740;70;0;190;76;1100;3400;998;351;56;940;Bad
740;66;0;180;75;1300;4000;998;351;56;940;Bad
790;60;6;160;69;1500;5900;996;330;46;940;Bad
730;65;0;120;65;1500;2100;995;339;47;1000;Good
780;58;2;200;73;900;1800;997;336;57;950;Good
750;50;36;610;71;1700;10200;998;335;80;1050;Bad
670;58;8;180;97;1500;6500;996;328;54;920;Bad
750;50;36;610;71;1700;10200;998;335;80;1050;Bad
560;62;0;160;89;1600;5900;994;358;52;990;Bad
780;61;29;160;114;900;2900;997;326;156;910;Bad
890;62;18;380;176;5200;14500;999;316;88;920;Bad
890;62;19;390;170;5100;14800;999;317;93;920;Bad
850;28;56;180;92;3500;10300;997;330;75;1050;Good
810;56;28;170;368;1600;5600;997;311;128;930;Bad
740;59;8;440;86;600;2900;997;338;50;900;Bad
790;32;51;180;341;1700;5600;997;304;108;920;Good
890;22;48;180;77;2900;6000;997;339;53;940;Good
760;39;31;230;82;2300;7100;998;352;65;970;Bad
790;43;21;160;106;1000;3700;997;317;91;950;Bad
850;49;11;230;84;900;6700;997;317;53;940;Bad
690;40;14;240;85;2100;4000;997;343;63;970;Good
630;39;16;140;80;1100;2300;996;334;56;930;Bad
760;41;24;180;80;400;1100;996;328;59;950;Bad
790;43;21;160;106;1000;3700;997;317;91;950;Bad
710;71;0;190;80;1400;3500;997;347;55;940;Bad
780;65;0;200;82;800;1600;996;338;59;980;Good
670;68;7;240;89;1700;8200;996;335;54;1010;Bad
690;69;0;250;105;2200;3700;997;346;57;1060;Good
830;66;12;230;83;1500;11300;997;317;66;980;Bad
690;61;12;1070;73;4000;8300;999;345;52;940;Good
520;32;25;180;103;1300;5000;996;338;55;920;Bad
780;65;0;550;86;500;1800;999;340;55;960;Good
780;60;14;240;86;300;1500;998;342;60;1080;Good
810;38;28;210;66;1300;3000;997;323;73;970;Good
570;113;9;150;172;700;1900;994;350;48;980;Bad
730;45;36;590;74;1200;8700;998;333;83;1050;Bad
730;45;36;590;74;1200;8700;998;333;83;1050;Bad
880;61;30;280;88;1700;4600;998;326;51;930;Bad
750;49;20;260;332;800;1400;997;321;90;1050;Good
810;66;22;220;69;900;2300;997;330;120;1030;Bad
680;67;2;180;50;500;1100;996;348;52;950;Bad
460;52;15;210;54;800;6500;993;390;56;1310;Bad
770;94;43;220;114;2200;11400;997;325;73;920;Bad
870;29;52;160;113;1200;3700;997;325;58;950;Bad
640;40;23;160;66;500;1200;996;334;56;920;Bad
560;31;37;140;74;1200;9600;995;332;58;920;Bad
880;66;26;170;74;400;2300;997;315;74;920;Bad
660;52;4;220;69;800;1500;996;340;63;940;Good
660;50;4;210;68;600;1400;996;339;64;940;Good
860;38;36;300;81;3000;11900;997;320;56;940;Bad
760;51;15;280;110;3300;7300;996;317;63;1020;Good
770;62;4;380;84;2500;4500;998;334;53;950;Bad
1020;42;57;340;70;400;1000;997;304;63;960;Bad
750;63;12;510;111;5000;11000;998;326;77;940;Bad
780;59;18;230;76;1700;5400;998;343;59;1000;Bad
730;39;31;240;74;900;4600;996;341;54;940;Good
880;40;40;220;79;1900;5200;998;344;64;920;Bad
770;69;49;180;115;2000;11200;997;321;71;930;Bad
750;52;16;190;85;1200;3500;997;338;62;950;Good
700;74;5;200;81;1300;5400;997;339;57;980;Bad
720;73;5;465;86;400;1100;996;341;39;1090;Bad
720;73;5;465;86;400;1100;996;341;39;1090;Bad
750;52;11;150;79;1100;3900;997;342;58;960;Bad
660;71;7;160;76;600;1500;996;344;58;1070;Bad
930;32;57;200;74;2700;6500;997;328;79;1070;Bad
800;71;5;190;74;800;1900;996;334;95;1050;Good
770;63;8;190;76;1500;2700;997;332;54;950;Good
770;67;23;210;88;1700;9600;996;332;48;950;Bad
770;69;22;190;84;1800;9400;996;331;48;950;Bad
830;68;26;210;84;1100;4300;998;331;53;920;Bad
970;32;54;250;94;2800;8300;998;328;82;960;Bad
880;41;64;220;93;900;4200;999;354;66;1050;Bad
880;41;64;220;93;900;4200;999;354;66;1050;Bad
680;79;0;240;104;1400;3000;997;352;55;1070;Good
670;75;12;200;86;1200;8000;996;338;52;1010;Bad
830;63;20;150;80;2700;11900;997;316;112;910;Bad
620;45;20;160;69;300;1500;996;341;56;920;Bad
780;43;70;190;464;2200;6700;997;313;128;940;Bad
740;50;47;200;86;2100;7300;997;336;57;910;Bad
730;67;26;180;401;1600;5100;997;316;114;940;Bad
630;30;48;180;69;1800;6100;996;344;78;1030;Good
690;55;15;220;76;1900;4000;996;341;59;1010;Bad
860;49;28;190;110;2000;13600;997;293;195;990;Good
770;49;26;190;62;900;3100;997;339;64;960;Bad
930;39;44;210;107;3400;12500;998;314;122;950;Bad
700;62;8;180;76;800;2400;998;348;53;900;Bad
790;52;26;190;79;4200;14000;996;323;54;950;Bad
860;49;28;190;110;2000;13600;997;293;195;990;Good
860;49;29;200;110;1900;13300;997;293;198;980;Bad
770;49;26;190;62;900;3100;997;339;64;960;Bad
500;102;4;140;45;4100;8500;994;375;48;1050;Bad
470;60;17;230;58;1700;10600;993;385;60;1290;Good
680;78;0;300;102;800;2300;997;345;56;1070;Bad
700;50;25;200;70;300;2200;996;325;63;920;Bad
760;90;6;250;79;500;1000;997;339;56;980;Bad
810;55;18;190;80;1300;3500;997;330;59;900;Good
830;61;30;210;84;1100;5000;997;340;61;1020;Good
780;50;30;190;75;800;2200;996;331;56;1040;Good
810;55;18;190;80;1300;3500;997;330;59;900;Good
810;58;22;210;77;1200;6500;997;329;51;920;Bad
720;49;24;220;70;500;3600;996;333;48;940;Bad
810;58;22;210;77;1200;6500;997;329;51;920;Bad
780;41;68;170;467;1800;6900;997;308;131;930;Bad
620;63;31;170;88;1500;6400;997;346;79;930;Bad
800;33;53;250;91;1800;8000;998;337;80;960;Good
810;79;52;200;122;3700;15300;997;321;69;930;Bad
780;56;19;180;104;1200;4700;996;319;93;950;Bad
840;62;9;220;84;1100;10800;996;315;66;980;Bad
840;60;10;220;85;1400;11100;996;315;66;980;Bad
1010;31;44;230;80;2200;4600;999;332;67;970;Good
780;56;19;180;104;1200;4700;996;319;93;950;Bad
940;40;31;220;90;1300;6200;997;307;63;1050;Good
830;54;28;190;77;1100;4000;998;339;61;1000;Good
780;56;12;200;82;700;2800;997;337;50;940;Good
880;55;4;220;119;1400;5600;996;321;60;1090;Good
700;69;8;180;97;2200;8900;996;334;54;920;Good
730;107;9;170;178;1000;8900;996;330;57;900;Bad
880;55;4;220;119;1400;5600;996;321;60;1090;Good
730;70;0;250;75;300;1300;998;349;52;920;Bad
800;71;0;260;80;1100;3400;998;344;53;950;Bad
780;50;17;160;82;2100;10200;996;339;48;950;Bad
900;62;4;190;146;2700;9000;998;316;70;940;Bad
820;133;0;170;81;300;1200;996;353;49;1090;Bad
810;133;0;180;82;300;1200;996;354;48;1090;Bad
800;59;16;180;65;300;1600;996;342;92;1050;Good
610;38;15;180;72;600;1900;996;342;57;940;Bad
800;75;56;200;118;3000;13400;997;324;66;940;Bad
560;50;9;230;49;1700;9900;994;363;63;1300;Bad
560;50;9;230;49;1700;9900;994;363;63;1300;Bad
660;50;1;150;60;1700;2600;995;340;58;980;Good
790;104;5;220;84;1300;2900;996;322;55;990;Good
840;75;11;190;90;1600;6300;997;319;82;960;Bad
830;72;15;180;89;1000;5200;997;323;77;950;Bad
720;42;36;200;81;1300;4500;997;348;64;920;Bad
780;56;19;210;81;1500;10500;996;333;54;950;Bad
780;56;19;200;81;1700;10800;996;332;54;950;Bad
840;75;11;190;90;1600;6300;997;319;82;960;Bad
830;72;15;180;89;1000;5200;997;323;77;950;Bad
520;34;0;180;50;2700;6300;992;368;79;1400;Good
630;39;8;170;66;300;2000;995;334;58;940;Bad
520;34;0;180;50;2700;6300;992;368;79;1400;Good
810;67;55;180;117;3200;14100;997;317;62;940;Bad
580;68;2;180;87;2100;9400;994;354;52;1000;Bad
760;49;26;160;236;1000;8800;997;311;80;930;Bad
690;49;10;230;74;1200;3000;996;342;58;1020;Good
820;40;44;280;89;1100;4300;998;353;61;1050;Good
730;33;47;210;77;500;1100;996;333;53;1030;Good
920;52;100;340;610;3200;6900;1000;274;200;940;Bad
750;60;3;180;95;2500;9900;995;335;54;1010;Bad
750;60;3;180;95;2500;9900;995;335;54;1010;Bad
710;43;42;550;70;2900;12900;997;342;72;1050;Bad
